t,E_left,E_right,E_exact_left,E_exact_right
0,8.575,8.575,0,0
3.31104e-05,18.4725,8.575,0,0
6.62207e-05,18.5739,8.575,0,0
9.93311e-05,18.5778,8.575,0,0
0.000132441,18.578,8.575,0,0
0.000165552,18.5807,8.575,0,0
0.000198662,18.581,8.575,0,0
0.000231773,18.5837,8.575,0,0
0.000264883,18.584,8.575,0,0
0.000297993,18.5866,8.575,0,0
0.000331104,18.587,8.575,0,0
0.000364214,18.5896,8.575,0,0
0.000397324,18.59,8.575,0,0
0.000430435,18.5926,8.575,0,0
0.000463545,18.593,8.575,0,0
0.000496656,18.5955,8.575,0,0
0.000529766,18.596,8.575,0,0
0.000562876,18.5985,8.575,0,0
0.000595987,18.5991,8.575,0,0
0.000629097,18.6014,8.575,0,0
0.000662207,18.6021,8.575,0,0
0.000695318,18.6044,8.575,0,0
0.000728428,18.6051,8.575,0,0
0.000761538,18.6074,8.575,0,0
0.000794649,18.608,8.575,0,0
0.000827759,18.6103,8.575,0,0
0.00086087,18.611,8.575,0,0
0.00089398,18.6133,8.575,0,0
0.00092709,18.614,8.575,0,0
0.000960201,18.6162,8.575,0,0
0.000993311,18.617,8.575,0,0
0.00102642,18.6192,8.575,0,0
0.00105953,18.62,8.575,0,0
0.00109264,18.6221,8.575,0,0
0.00112575,18.623,8.575,0,0
0.00115886,18.6251,8.575,0,0
0.00119197,18.6259,8.575,0,0
0.00122508,18.628,8.575,0,0
0.00125819,18.6289,8.575,0,0
0.0012913,18.631,8.575,0,0
0.00132441,18.6319,8.575,0,0
0.00135753,18.6339,8.575,0,0
0.00139064,18.6349,8.575,0,0
0.00142375,18.6369,8.575,0,0
0.00145686,18.6378,8.575,0,0
0.00148997,18.6398,8.575,0,0
0.00152308,18.6408,8.575,0,0
0.00155619,18.6428,8.575,0,0
0.0015893,18.6437,8.575,0,0
0.00162241,18.6457,8.575,0,0
0.00165552,18.6467,8.575,0,0
0.00168863,18.6486,8.575,0,0
0.00172174,18.6496,8.575,0,0
0.00175485,18.6515,8.575,0,0
0.00178796,18.6526,8.575,0,0
0.00182107,18.6545,8.575,0,0
0.00185418,18.6555,8.575,0,0
0.00188729,18.6574,8.575,0,0
0.0019204,18.6585,8.575,0,0
0.00195351,18.6603,8.575,0,0
0.00198662,18.6614,8.575,0,0
0.00201973,18.6633,8.575,0,0
0.00205284,18.6644,8.575,0,0
0.00208595,18.6662,8.575,0,0
0.00211906,18.6673,8.575,0,0
0.00215217,18.6691,8.575,0,0
0.00218528,18.6702,8.575,0,0
