t,E_left+F_left,E_left-F_left,E_right+F_right,E_right-F_right
0,8.575,8.575,8.575,8.575
3.31104e-05,28.3652,8.5799,8.575,8.575
6.62207e-05,28.5674,8.58052,8.575,8.575
9.93311e-05,28.5695,8.58607,8.575,8.575
0.000132441,28.5695,8.58656,8.575,8.575
0.000165552,28.5695,8.59199,8.575,8.575
0.000198662,28.5695,8.59258,8.575,8.575
0.000231773,28.5695,8.5979,8.575,8.575
0.000264883,28.5695,8.59858,8.575,8.575
0.000297993,28.5695,8.6038,8.575,8.575
0.000331104,28.5695,8.60458,8.575,8.575
0.000364214,28.5695,8.6097,8.575,8.575
0.000397324,28.5695,8.61058,8.575,8.575
0.000430435,28.5695,8.61563,8.575,8.575
0.000463545,28.5695,8.6166,8.575,8.575
0.000496656,28.5695,8.62156,8.575,8.575
0.000529766,28.5695,8.62261,8.575,8.575
0.000562876,28.5695,8.62748,8.575,8.575
0.000595987,28.5695,8.62862,8.575,8.575
0.000629097,28.5695,8.63341,8.575,8.575
0.000662207,28.5695,8.63462,8.575,8.575
0.000695318,28.5695,8.63933,8.575,8.575
0.000728428,28.5695,8.64061,8.575,8.575
0.000761538,28.5695,8.64525,8.575,8.575
0.000794649,28.5695,8.6466,8.575,8.575
0.000827759,28.5695,8.65116,8.575,8.575
0.00086087,28.5695,8.65258,8.575,8.575
0.00089398,28.5695,8.65708,8.575,8.575
0.00092709,28.5695,8.65855,8.575,8.575
0.000960201,28.5695,8.66298,8.575,8.575
0.000993311,28.5695,8.66452,8.575,8.575
0.00102642,28.5695,8.66889,8.575,8.575
0.00105953,28.5695,8.67049,8.575,8.575
0.00109264,28.5695,8.67479,8.575,8.575
0.00112575,28.5695,8.67644,8.575,8.575
0.00115886,28.5695,8.68069,8.575,8.575
0.00119197,28.5695,8.68239,8.575,8.575
0.00122508,28.5695,8.68658,8.575,8.575
0.00125819,28.5695,8.68834,8.575,8.575
0.0012913,28.5695,8.69247,8.575,8.575
0.00132441,28.5695,8.69427,8.575,8.575
0.00135753,28.5695,8.69836,8.575,8.575
0.00139064,28.5695,8.7002,8.575,8.575
0.00142375,28.5695,8.70424,8.575,8.575
0.00145686,28.5695,8.70613,8.575,8.575
0.00148997,28.5695,8.71012,8.575,8.575
0.00152308,28.5695,8.71205,8.575,8.575
0.00155619,28.5695,8.71599,8.575,8.575
0.0015893,28.5695,8.71796,8.575,8.575
0.00162241,28.5695,8.72186,8.575,8.575
0.00165552,28.5695,8.72387,8.575,8.575
0.00168863,28.5695,8.72772,8.575,8.575
0.00172174,28.5695,8.72977,8.575,8.575
0.00175485,28.5695,8.73358,8.575,8.575
0.00178796,28.5695,8.73566,8.575,8.575
0.00182107,28.5695,8.73943,8.575,8.575
0.00185418,28.5695,8.74155,8.575,8.575
0.00188729,28.5695,8.74528,8.575,8.575
0.0019204,28.5695,8.74743,8.575,8.575
0.00195351,28.5695,8.75113,8.575,8.575
0.00198662,28.5695,8.75331,8.575,8.575
0.00201973,28.5695,8.75699,8.575,8.575
0.00205284,28.5695,8.75923,8.575,8.575
0.00208595,28.5695,8.76286,8.575,8.575
0.00211906,28.5695,8.76509,8.575,8.575
0.00215217,28.5695,8.76869,8.575,8.575
0.00218528,28.5695,8.77095,8.575,8.575
0.00221839,28.5695,8.77451,8.575,8.575
0.00225151,28.5695,8.7768,8.575,8.575
0.00228462,28.5695,8.78033,8.575,8.575
0.00231773,28.5695,8.78264,8.575,8.575
0.00235084,28.5695,8.78615,8.575,8.575
0.00238395,28.5695,8.78848,8.575,8.575
0.00241706,28.5695,8.79196,8.575,8.575
0.00245017,28.5695,8.79431,8.575,8.575
0.00248328,28.5695,8.79776,8.575,8.575
0.00251639,28.5695,8.80013,8.575,8.575
0.0025495,28.5695,8.80356,8.575,8.575
0.00258261,28.5695,8.80595,8.575,8.575
0.00261572,28.5695,8.80937,8.575,8.575
0.00264883,28.5695,8.81182,8.575,8.575
0.00268194,28.5695,8.81652,8.575,8.575
0.00271505,28.5695,8.82137,8.575,8.575
0.00274816,28.5695,8.83696,8.575,8.575
0.00278127,28.5696,8.85735,8.575,8.575
0.00281438,28.5696,8.91643,8.575,8.575
0.00284749,28.5696,8.9901,8.575,8.575
0.0028806,28.5696,9.15885,8.575,8.575
0.00291371,28.5697,9.35156,8.575,8.575
0.00294682,28.5698,9.70457,8.575,8.575
0.00297993,28.5699,10.079,8.575,8.575
0.00301304,28.57,10.6367,8.575,8.575
0.00304615,28.5702,11.1971,8.575,8.575
